% 1. Title : data/scala.train.6m.comment
%
%
% 2. Sources:
%    (a) Creator : Zach Welch
%    (b) Date 2013-12-05
@RELATION BUGGY
@ATTRIBUTE Kincaid numeric
@ATTRIBUTE Diction numeric
@ATTRIBUTE Queequeg numeric
@ATTRIBUTE classification {clean,buggy}

@DATA
-1.1,0,1,clean
0.4,0,1,buggy
-2.6,0,1,clean
-0.7,0,1,buggy
-1.4,0,1,buggy
-2.2,0,1,clean
-0.7,0,1,clean
4.4,0,1,buggy
-2.2,0,1,buggy
-3.4,0,1,clean
-0.3,0,1,clean
2.1,1,1,clean
-2.2,0,1,buggy
0.9,0,1,buggy
1.5,9,6,clean
2.8,2,1,clean
-1.8,0,1,clean
6.7,4,7,clean
0.7,1,2,buggy
3.6,1,1,buggy
1.5,6,4,buggy
-1.1,0,1,clean
-1.4,0,1,clean
3.6,0,1,clean
-1.0,1,1,clean
-1.1,0,1,clean
1.5,4,2,clean
4.0,2,3,clean
0.0,2,1,buggy
-1.8,1,1,clean
2.9,2,3,buggy
0.5,1,1,buggy
1.9,1,2,buggy
-1.3,0,1,buggy
-2.0,0,1,buggy
0.8,2,1,buggy
-1.4,0,1,buggy
-0.7,1,1,clean
-0.3,0,1,clean
0.7,0,1,buggy
-1.8,0,1,buggy
-1.4,11,1,clean
4.0,1,2,buggy
2.9,5,5,clean
0.5,1,1,clean
2.7,2,4,clean
0.5,0,2,buggy
1.7,1,1,buggy
-0.7,1,1,clean
1.2,1,1,clean
7.3,2,2,buggy
-1.1,0,1,buggy
1.4,4,3,buggy
1.9,2,1,clean
1.3,1,1,buggy
0.7,3,1,buggy
5.6,2,2,clean
3.4,6,1,clean
-1.8,0,1,clean
2.3,1,1,clean
0.9,3,3,clean
0.9,3,3,clean
-0.1,0,1,clean
-1.4,2,1,clean
1.3,1,1,buggy
-1.1,1,2,buggy
2.2,3,3,buggy
5.3,2,3,clean
0.8,4,2,buggy
-2.6,0,1,clean
-0.7,0,1,buggy
0.1,0,1,buggy
2.3,3,2,clean
10.6,1,1,clean
0.7,0,1,clean
2.1,1,1,buggy
-0.7,0,1,clean
9.5,0,2,buggy
0.1,0,1,buggy
0.5,0,1,clean
-0.3,0,1,clean
0.5,0,1,buggy
1.3,0,1,clean
2.5,2,2,clean
1.1,0,2,clean
0.3,0,2,clean
6.4,0,1,clean
1.0,1,3,clean
-1.1,0,1,clean
1.0,1,2,buggy
1.5,2,3,buggy
1.3,1,1,clean
-1.1,1,1,clean
-0.3,0,1,clean
3.6,2,3,buggy
7.9,1,2,clean
4.4,0,2,clean
-1.8,1,1,clean
0.5,1,1,buggy
2.8,0,1,clean
-2.0,0,1,clean
0.1,0,2,clean
2.0,5,2,buggy
2.8,2,3,buggy
1.1,0,2,buggy
-1.1,0,1,buggy
1.7,2,2,buggy
-1.8,0,1,buggy
-2.2,0,1,clean
4.6,2,1,buggy
-0.7,1,1,buggy
-1.8,0,2,clean
-0.3,1,2,buggy
-2.6,0,1,clean
1.1,1,2,clean
0.3,1,3,clean
5.2,0,1,clean
5.2,0,1,buggy
5.2,0,1,clean
-1.1,0,2,clean
1.3,1,2,buggy
6.2,3,1,clean
5.3,2,1,buggy
-2.2,0,1,clean
4.4,6,8,clean
0.2,0,2,clean
1.7,2,2,buggy
-2.2,0,1,buggy
-1.8,0,1,buggy
6.5,2,2,clean
-1.4,0,1,buggy
-0.6,2,3,buggy
-1.4,0,1,clean
4.8,1,1,clean
-0.7,0,1,clean
6.4,0,1,clean
-0.7,0,2,clean
1.3,2,3,clean
3.1,1,1,clean
1.7,1,1,buggy
5.2,1,1,buggy
0.9,11,6,buggy
0.6,1,1,buggy
4.0,1,2,buggy
2.1,0,1,clean
-1.4,1,3,clean
6.3,5,5,buggy
4.0,0,1,buggy
-3.0,0,1,buggy
7.5,0,1,buggy
-0.9,0,1,clean
-0.4,1,1,clean
3.5,5,4,buggy
1.2,1,1,clean
1.7,6,1,clean
1.7,6,1,clean
-1.1,0,1,clean
3.4,3,4,clean
1.1,1,2,clean
4.3,2,2,clean
3.8,1,2,buggy
