% 1. Title : data/puppet.train.1yr.comment
%
%
% 2. Sources:
%    (a) Creator : Zach Welch
%    (b) Date 2013-12-05
@RELATION BUGGY
@ATTRIBUTE Kincaid numeric
@ATTRIBUTE Diction numeric
@ATTRIBUTE Queequeg numeric
@ATTRIBUTE classification {clean,buggy}

@DATA
5.0,0,1,clean
2.1,0,1,clean
6.9,2,2,clean
5.6,5,6,clean
-0.7,0,1,clean
5.6,1,6,clean
7.9,1,2,clean
6.0,0,2,clean
2.8,0,2,clean
-2.6,0,1,clean
8.3,0,2,clean
3.2,0,1,buggy
-1.8,0,1,clean
-1.4,0,2,clean
3.8,0,3,buggy
6.4,0,1,clean
2.2,2,3,buggy
0.1,0,1,clean
0.1,0,1,buggy
12.6,0,1,buggy
-1.4,0,1,clean
2.8,1,1,clean
2.1,0,2,clean
1.7,0,1,clean
3.6,1,2,clean
-3.0,0,1,buggy
-1.4,0,1,clean
5.6,1,1,clean
1.5,1,1,clean
-1.4,0,1,clean
-0.5,0,2,clean
7.9,0,1,buggy
9.1,1,1,clean
-1.1,0,1,clean
4.1,3,1,buggy
-0.5,0,1,clean
5.8,0,2,clean
2.1,2,1,clean
3.4,2,1,clean
9.3,3,1,clean
-0.7,0,1,buggy
11.8,1,5,buggy
8.5,1,2,buggy
2.3,4,3,clean
-0.4,1,2,clean
1.2,1,1,buggy
-0.9,0,1,clean
-0.2,0,1,buggy
3.2,2,2,buggy
3.1,3,3,clean
2.8,3,1,buggy
4.0,4,5,clean
3.5,8,5,clean
1.9,1,2,clean
2.4,4,1,clean
0.4,3,1,clean
1.5,2,2,clean
2.0,3,2,clean
3.9,9,3,buggy
1.9,3,2,clean
1.4,3,1,buggy
1.4,2,1,clean
1.1,2,4,clean
0.2,1,3,clean
4.0,2,4,clean
-0.4,1,1,clean
0.4,2,1,buggy
1.7,2,1,clean
4.6,1,3,clean
2.8,3,1,clean
3.9,2,3,clean
3.1,5,6,buggy
2.6,2,2,clean
2.0,2,2,clean
0.5,2,2,buggy
-2.6,0,1,clean
-1.6,1,1,clean
2.2,3,4,buggy
-0.3,1,1,clean
1.7,2,2,clean
1.2,1,2,clean
-1.2,2,1,clean
-0.2,2,1,clean
-0.6,1,1,clean
1.4,1,1,clean
-1.6,0,2,buggy
0.7,2,1,buggy
-0.7,1,2,buggy
-0.5,2,1,buggy
0.4,2,4,clean
1.1,2,1,buggy
0.1,1,4,clean
-0.0,2,1,clean
1.9,2,1,clean
3.8,3,5,clean
2.4,4,4,clean
0.3,3,1,clean
1.3,1,4,clean
1.2,2,2,clean
7.4,3,3,buggy
4.0,3,6,buggy
3.6,1,1,clean
3.1,2,2,clean
2.2,3,1,clean
3.5,1,2,clean
-1.1,1,1,clean
